timestamp,temp_c,wind_kph,humidity
2024-10-12 07:00,8.1,3.2,65
2024-10-12 08:00,9.6,2.5,59
2024-10-12 09:00,11.0,2.2,54
2024-10-12 10:00,12.2,1.8,49
2024-10-12 11:00,13.1,2.2,44
2024-10-12 12:00,13.7,3.6,40
2024-10-12 13:00,13.9,5.4,38
2024-10-12 14:00,14.1,6.5,37
2024-10-12 15:00,13.9,8.6,38
2024-10-12 16:00,13.2,9.7,41
2024-10-12 17:00,11.7,9.7,46
2024-10-12 18:00,10.9,10.4,49
2024-10-12 19:00,10.3,10.4,52
2024-10-12 20:00,9.8,10.8,53
2024-10-12 21:00,9.3,11.5,55
2024-10-12 22:00,9.1,11.9,55
2024-10-12 23:00,8.8,12.6,56
